iter	Passed	Remaining
0	133	132870
1	134	67216
2	136	45203
3	136	34000
4	137	27305
5	138	22882
6	139	19842
7	140	17421
8	141	15560
9	141	14050
10	143	12858
11	145	11965
12	147	11189
13	148	10480
14	150	9854
15	151	9306
16	153	8902
17	156	8518
18	158	8178
19	160	7885
20	162	7580
21	164	7301
22	166	7052
23	167	6821
24	169	6602
25	170	6397
26	172	6209
27	174	6054
28	175	5888
29	177	5725
30	178	5578
31	179	5442
32	181	5313
33	182	5187
34	183	5067
35	185	4954
36	186	4851
37	187	4749
38	189	4657
39	190	4567
40	191	4480
41	192	4393
42	193	4310
43	194	4231
44	195	4155
45	196	4081
46	197	4009
47	198	3941
48	199	3875
49	200	3810
50	201	3751
51	202	3695
52	203	3639
53	204	3582
54	205	3529
55	206	3477
56	207	3425
57	207	3376
58	208	3331
59	209	3288
60	210	3243
61	211	3198
62	212	3155
63	213	3115
64	213	3074
65	214	3035
66	215	2998
67	216	2962
68	216	2926
69	217	2891
70	218	2857
71	219	2823
72	219	2790
73	220	2758
74	221	2727
75	222	2699
76	222	2669
77	223	2639
78	224	2611
79	224	2584
80	225	2556
81	225	2529
82	226	2499
83	226	2473
84	227	2450
85	228	2427
86	229	2403
87	229	2381
88	230	2359
89	231	2336
90	231	2314
91	232	2291
92	232	2269
93	233	2248
94	233	2229
95	234	2209
96	235	2189
97	235	2171
98	236	2153
99	237	2135
100	237	2117
101	238	2099
102	239	2081
103	239	2065
104	240	2048
105	240	2031
106	241	2015
107	241	1998
108	242	1981
109	242	1965
110	243	1949
111	243	1934
112	244	1918
113	244	1903
114	245	1888
115	245	1873
116	246	1859
117	246	1845
118	247	1832
119	248	1818
120	248	1805
121	248	1790
122	249	1777
123	249	1764
124	250	1751
125	250	1738
126	251	1725
127	251	1712
128	251	1700
129	252	1689
130	253	1678
131	253	1667
132	254	1656
133	254	1644
134	254	1633
135	255	1622
136	255	1611
137	256	1601
138	256	1590
139	257	1580
140	257	1569
141	258	1559
142	258	1549
143	259	1541
144	259	1532
145	260	1523
146	260	1513
147	261	1504
148	261	1495
149	262	1485
150	262	1476
151	263	1467
152	263	1458
153	264	1450
154	264	1441
155	264	1433
156	265	1426
157	266	1418
158	266	1410
159	267	1402
160	267	1394
161	268	1386
162	268	1378
163	268	1370
164	269	1363
165	269	1355
166	270	1348
167	270	1340
168	271	1333
169	271	1326
170	272	1320
171	273	1314
172	273	1307
173	274	1300
174	274	1294
175	274	1287
176	275	1280
177	275	1274
178	276	1267
179	276	1261
180	277	1254
181	277	1248
182	278	1243
183	278	1237
184	279	1231
185	279	1225
186	280	1219
187	280	1213
188	281	1207
189	281	1201
190	282	1195
191	282	1190
192	283	1184
193	283	1178
194	284	1173
195	285	1169
196	285	1163
197	286	1158
198	286	1153
199	286	1147
200	287	1142
201	287	1137
202	288	1131
203	288	1126
204	289	1121
205	289	1116
206	290	1111
207	290	1107
208	291	1102
209	291	1097
210	292	1093
211	292	1088
212	293	1084
213	293	1079
214	294	1074
215	294	1070
216	295	1066
217	296	1062
218	296	1058
219	297	1053
220	297	1050
221	298	1046
222	299	1042
223	299	1037
224	300	1033
225	300	1029
226	301	1025
227	301	1021
228	302	1017
229	302	1013
230	303	1009
231	303	1005
232	304	1002
233	304	998
234	305	994
235	305	990
236	306	986
237	306	982
238	307	978
239	307	974
240	308	970
241	308	967
242	309	963
243	309	960
244	310	957
245	311	953
246	311	949
247	312	946
248	312	942
249	313	939
250	313	935
251	314	932
252	314	929
253	315	925
254	315	922
255	316	919
256	316	916
257	317	913
258	318	909
259	318	906
260	318	903
261	319	900
262	320	896
263	320	893
264	321	890
265	321	887
266	322	884
267	323	882
268	323	879
269	324	876
270	324	873
271	325	870
272	325	867
273	326	864
274	326	861
275	327	858
276	327	855
277	328	852
278	328	850
279	329	847
280	330	844
281	330	842
282	331	839
283	332	837
284	332	834
285	333	831
286	333	829
287	334	826
288	335	824
289	335	821
290	336	819
291	336	816
292	337	813
293	337	811
294	338	808
295	338	805
296	339	803
297	339	800
298	340	798
299	340	795
300	341	793
301	342	791
302	343	789
303	343	786
304	344	784
305	344	781
306	345	779
307	345	776
308	346	774
309	346	771
310	347	769
311	347	766
312	348	764
313	349	762
314	349	760
315	350	758
316	350	755
317	351	753
318	351	751
319	352	748
320	352	746
321	353	744
322	353	741
323	354	740
324	355	738
325	355	735
326	356	733
327	357	731
328	357	729
329	358	727
330	358	725
331	359	723
332	359	720
333	360	719
334	361	717
335	361	715
336	362	713
337	362	710
338	363	709
339	364	706
340	364	704
341	365	702
342	365	700
343	366	698
344	366	696
345	367	694
346	368	693
347	368	691
348	369	689
349	369	686
350	370	684
351	370	682
352	371	681
353	372	679
354	372	677
355	373	675
356	374	673
357	374	672
358	375	670
359	375	668
360	376	666
361	376	664
362	377	662
363	378	660
364	378	659
365	379	657
366	380	656
367	381	654
368	381	652
369	382	650
370	382	648
371	383	646
372	383	645
373	384	643
374	384	641
375	385	639
376	386	638
377	386	636
378	387	634
379	387	632
380	388	631
381	389	629
382	389	627
383	390	625
384	390	623
385	391	622
386	391	620
387	392	618
388	393	617
389	393	615
390	394	614
391	394	612
392	395	610
393	395	608
394	396	607
395	396	605
396	397	603
397	398	602
398	398	600
399	399	599
400	400	597
401	400	596
402	401	594
403	401	592
404	402	591
405	402	589
406	403	587
407	403	585
408	404	584
409	404	582
410	405	581
411	406	579
412	406	578
413	407	576
414	407	574
415	408	573
416	409	571
417	409	570
418	410	568
419	410	567
420	411	565
421	412	564
422	412	562
423	413	561
424	413	559
425	414	558
426	414	556
427	415	555
428	415	553
429	416	552
430	417	550
431	417	549
432	418	547
433	418	546
434	419	545
435	420	543
436	420	542
437	421	540
438	422	539
439	422	537
440	423	536
441	423	534
442	424	533
443	424	532
444	425	530
445	426	529
446	426	527
447	427	526
448	427	524
449	428	523
